,article,first_subcategory,first_seen,last_seen
124,1499489,33,1,31
125,955018,33,1,31
126,955023,33,1,31
127,1195258,33,1,31
128,1192380,33,1,31
129,1195265,33,1,31
130,1499488,33,1,31
131,1501072,33,1,31
132,1192381,33,1,31
133,1192377,33,1,1
134,774767,33,1,31
135,955024,33,1,31
136,1193431,33,1,31
137,1508470,33,1,31
138,774766,33,1,31
139,1178631,33,1,31
140,1501074,33,1,31
141,1192360,33,1,31
142,1178629,33,1,31
143,1195268,33,1,31
144,1307796,33,1,31
145,859090,39,1,31
146,1408492,39,1,31
147,1488370,39,1,31
148,1535654,39,1,31
149,1535664,39,1,31
150,1535663,39,1,1
151,1535656,39,1,1
152,1535657,39,1,31
153,1535655,39,1,31
154,1535661,39,1,31
155,859865,39,1,31
156,1283268,14,1,31
157,891514,14,1,31
158,1383352,14,1,31
159,1221752,14,1,31
160,464234,14,1,31
161,1221741,14,1,31
162,997532,14,1,31
163,997538,14,1,31
164,831368,14,1,31
165,1362595,14,1,1
166,911009,14,1,31
167,1221750,14,1,31
168,1423059,14,1,31
169,1221751,14,1,31
170,1176250,14,1,31
171,1221743,14,1,31
172,1383354,14,1,31
173,1221739,14,1,31
174,1221740,14,1,31
175,1381364,14,1,31
176,1245680,14,1,31
177,771108,14,1,1
178,973083,14,1,31
179,1445522,14,1,31
180,521955,14,1,31
181,1221753,14,1,31
182,1297276,14,1,31
183,1297279,14,1,31
184,1176248,14,1,31
185,521957,14,1,31
186,912134,51,1,31
187,774731,51,1,31
188,1303465,51,1,1
189,1471018,51,1,1
190,1303464,51,1,31
191,1471077,51,1,31
192,912137,51,1,31
193,912135,51,1,31
194,1397752,51,1,31
195,912136,51,1,31
196,1265000,51,1,31
197,912133,51,1,31
198,1397753,51,1,31
199,1397754,51,1,31
200,1162509,51,1,31
201,457201,51,1,31
202,1451082,51,1,31
203,1456950,51,1,31
204,685072,51,1,31
205,1476329,51,1,31
206,774120,51,1,31
207,1272086,51,1,31
208,1471076,51,1,31
209,1471080,51,1,31
210,1474998,51,1,31
211,1485103,51,1,1
212,1386368,51,1,31
213,1254690,51,1,31
214,98215,51,1,31
215,1458995,51,1,31
216,1439033,15,1,1
217,431115,21,1,31
218,398062,21,1,31
219,939794,21,1,31
220,397499,21,1,31
221,780800,21,1,31
222,789627,21,1,31
223,1263559,21,1,31
224,781576,21,1,31
225,463857,21,1,31
226,465578,21,1,31
227,1045699,21,1,31
228,397502,21,1,31
229,1234696,21,1,31
230,1045698,21,1,31
231,176107,21,1,31
232,1234688,21,1,31
233,1234685,21,1,31
234,1422171,21,1,31
235,1422172,21,1,31
236,1069076,21,1,31
237,909056,21,1,31
238,1234695,21,1,31
239,928034,21,1,31
240,781243,37,1,31
241,1177752,37,1,31
242,455678,37,1,31
243,1377948,37,1,31
244,455686,37,1,31
245,1177776,37,1,31
246,1177778,37,1,31
247,1177784,37,1,31
248,1177788,37,1,31
249,1177777,37,1,31
250,1177755,37,1,31
251,1395080,37,1,31
252,1177785,37,1,31
253,455687,37,1,31
254,1177779,37,1,31
255,1177780,37,1,1
256,1177756,37,1,1
257,1177782,37,1,31
258,1177754,37,1,31
259,1177753,37,1,31
260,1193467,37,1,31
261,1177783,37,1,31
262,1430825,37,1,31
263,1193468,37,1,31
264,1177781,37,1,31
265,1430828,37,1,31
266,1430822,37,1,31
267,1177789,37,1,31
268,1448881,37,1,31
269,1430823,37,1,31
270,1006913,80,1,1
271,1006918,80,1,31
272,1006915,80,1,1
273,1455992,80,1,31
274,1469665,80,1,31
275,1457062,80,1,31
276,1455406,80,1,31
277,1457061,80,1,31
278,1430827,80,1,31
279,910736,80,1,31
280,1455404,80,1,31
281,1481277,80,1,31
282,1481282,80,1,31
283,1481281,80,1,31
284,1481279,80,1,31
285,1390853,80,1,1
286,1308733,86,1,1
287,1453080,86,1,31
288,1193428,86,1,31
289,1495028,86,1,31
290,1495421,86,1,31
291,1490351,86,1,31
292,1495415,86,1,31
293,1402354,86,1,31
294,1402356,86,1,31
295,1448893,86,1,31
296,1495416,86,1,31
297,1495417,86,1,31
298,1495037,86,1,31
299,1354570,86,1,31
300,1402353,86,1,31
301,1495036,86,1,31
302,1495419,86,1,31
303,1402355,86,1,31
304,1396205,86,1,31
305,1453121,86,1,31
306,1495035,86,1,31
307,1495033,86,1,31
308,1495422,86,1,31
309,1388782,86,1,31
310,1448895,86,1,31
311,1495031,86,1,31
312,1495423,86,1,31
313,1495418,86,1,31
314,1495420,86,1,31
315,1495032,86,1,31
316,500268,66,1,31
317,623648,66,1,31
318,623649,66,1,31
319,268165,66,1,31
320,268166,66,1,31
321,79286,66,1,31
322,935157,66,1,31
323,1170342,66,1,1
324,836106,66,1,31
325,1239867,66,1,1
326,543708,66,1,1
327,486625,66,1,1
328,683160,66,1,1
329,1004358,66,1,31
330,750285,66,1,31
331,1234593,66,1,31
332,1425375,66,1,31
333,1234590,66,1,31
334,333706,66,1,31
335,836110,66,1,31
336,104515,66,1,31
337,1083443,66,1,31
338,333707,66,1,31
339,879137,66,1,31
340,205626,66,1,31
341,1196606,66,1,31
