,subcategory,subcategory_id,category_id,cat__subcat
127,Наборы в коробках,128,19,Конфеты__Наборы в коробках
128,Джемы и варенье,129,4,Консервация__Джемы и варенье
129,Мясные нарезки,130,7,"Сыр, колбаса, рыба__Мясные нарезки"
130,Сосиски и сардельки,131,7,"Сыр, колбаса, рыба__Сосиски и сардельки"
131,Сырные наборы,132,7,"Сыр, колбаса, рыба__Сырные наборы"
132,Сахар,133,17,"Сахар, соусы, приправы__Сахар"
133,Соль,134,17,"Сахар, соусы, приправы__Соль"
134,Растительные и оливковые масла,135,17,"Сахар, соусы, приправы__Растительные и оливковые масла"
135,Вода негазированная,136,23,Вода__Вода негазированная
136,Вода газированная,137,23,Вода__Вода газированная
137,Бутилированная вода,138,23,Вода__Бутилированная вода
138,Морсы,139,23,Вода__Морсы
139,Соки и нектары,140,23,Вода__Соки и нектары
140,"Вода сладкая газированная, квас",141,23,"Вода__Вода сладкая газированная, квас"
141,Безалкогольное пиво и вино,142,23,Вода__Безалкогольное пиво и вино
142,Холодный чай и кофейные напитки,143,23,Вода__Холодный чай и кофейные напитки
143,Элитная вода,144,23,Вода__Элитная вода
144,Пирожные,145,18,Хлебобулочные изделия__Пирожные
145,"Круассаны, кексы, рулеты",146,18,"Хлебобулочные изделия__Круассаны, кексы, рулеты"
146,"Торты, пироги",147,18,"Хлебобулочные изделия__Торты, пироги"
147,"Шоколад порционный, плитки, батончики",148,19,"Конфеты__Шоколад порционный, плитки, батончики"
148,Грибы,149,16,"Фрукты, овощи, ягоды, грибы__Грибы"
149,Рыба слабосоленая,150,7,"Сыр, колбаса, рыба__Рыба слабосоленая"
150,Колбасы,151,7,"Сыр, колбаса, рыба__Колбасы"
151,Закуски из морепродуктов,152,7,"Сыр, колбаса, рыба__Закуски из морепродуктов"
152,Подарочные корзины,153,10,Подарочные корзины__Подарочные корзины
153,Фруктовые корзины,154,10,Подарочные корзины__Фруктовые корзины
154,Батончики мюсли,155,8,"Снеки, жевательная резинка__Батончики мюсли"
155,Пюре для детского питания,156,24,Детское питание__Пюре для детского питания
156,"Каши, сухие смеси",157,24,"Детское питание__Каши, сухие смеси"
157,В зернах,158,21,Кофе__В зернах
158,Растворимый,159,21,Кофе__Растворимый
159,Молотый,160,21,Кофе__Молотый
160,Порционный,161,21,Кофе__Порционный
161,Черный пакетированный,162,2,Чай__Черный пакетированный
162,Зеленый пакетированный,163,2,Чай__Зеленый пакетированный
163,Черный листовой,164,2,Чай__Черный листовой
164,Ассорти пакетированный,165,2,Чай__Ассорти пакетированный
165,"Травяной, фруктовый пакетированный",166,2,"Чай__Травяной, фруктовый пакетированный"
166,Зеленый листовой,167,2,Чай__Зеленый листовой
167,Ассорти листовой,168,2,Чай__Ассорти листовой
168,"Травяной, фруктовый листовой",169,2,"Чай__Травяной, фруктовый листовой"
169,В стиках,170,2,Чай__В стиках
170,В пакетиках для чайников,171,2,Чай__В пакетиках для чайников
